Year,Month,Day,Hour,<AshlandElev>,<AADischarge>
2024,8,5,9,99.29,2876
2024,8,5,10,99.34,2902
2024,8,5,11,99.32,2891
2024,8,5,12,99.31,2886
2024,8,5,13,99.34,2902
2024,8,5,14,99.37,2917
2024,8,5,15,99.35,2907
2024,8,5,16,99.38,2923
2024,8,5,17,99.53,3003
2024,8,5,18,99.64,3063
2024,8,5,19,99.5,2987
2024,8,5,20,99.32,2891
2024,8,5,21,99.52,2998
2024,8,5,22,97.76,2008
2024,8,5,23,97.43,1978
2024,8,5,24,97.35,1975
2024,8,6,1,97.15,1894
2024,8,6,2,96.91,1801
2024,8,6,3,96.7,1721
2024,8,6,4,96.5,1648
2024,8,6,5,96.75,1740
2024,8,6,6,97.4,1995
2024,8,6,7,97.42,2003
2024,8,6,8,99.15,2925
2024,8,6,9,99.35,2920
2024,8,6,10,99.32,2891
2024,8,6,11,99.25,2855
2024,8,6,12,99.31,2886
2024,8,6,13,99.32,2891
2024,8,6,14,99.32,2891
2024,8,6,15,99.29,2875
2024,8,6,16,99.31,2886
2024,8,6,17,99.32,2891
2024,8,6,18,99.32,2891
2024,8,6,19,99.3,2881
2024,8,6,20,99.31,2886
2024,8,6,21,99.29,2875
2024,8,6,22,97.11,1691
2024,8,6,23,96.61,1639
2024,8,6,24,96.55,1666
2024,8,7,1,96.44,1626
2024,8,7,2,96.61,1688
2024,8,7,3,96.78,1751
2024,8,7,4,97.49,2032
2024,8,7,5,97.05,1855
2024,8,7,6,97.14,1890
2024,8,7,7,97.2,1914
2024,8,7,8,99.06,2891
2024,8,7,9,99.4,2955
2024,8,7,10,99.39,2928
2024,8,7,11,99.31,2886
2024,8,7,12,99.43,2949
2024,8,7,13,99.41,2939
2024,8,7,14,99.27,2865
2024,8,7,15,99.3,2881
2024,8,7,16,99.33,2896
2024,8,7,17,99.33,2896
2024,8,7,18,99.34,2902
2024,8,7,19,99.33,2896
2024,8,7,20,99.29,2875
2024,8,7,21,99.28,2870
2024,8,7,22,97.59,1937
2024,8,7,23,96.88,1722
2024,8,7,24,96.87,1785
2024,8,8,1,97.3,1954
2024,8,8,2,96.81,1763
2024,8,8,3,96.39,1609
2024,8,8,4,96.41,1616
2024,8,8,5,96.76,1744
2024,8,8,6,96.99,1831
2024,8,8,7,97.12,1882
2024,8,8,8,99.11,2925
2024,8,8,9,99.27,2875
2024,8,8,10,99.27,2865
2024,8,8,11,99.34,2902
2024,8,8,12,99.46,2965
2024,8,8,13,99.54,3008
2024,8,8,14,99.41,2939
2024,8,8,15,99.28,2870
2024,8,8,16,99.33,2896
2024,8,8,17,99.36,2912
2024,8,8,18,99.41,2939
2024,8,8,19,99.58,3030
2024,8,8,20,99.52,2998
2024,8,8,21,99.63,3057
2024,8,8,22,97.73,1984
2024,8,8,23,97.26,1896
2024,8,8,24,96.8,1759
2024,8,9,1,96.76,1744
2024,8,9,2,96.81,1763
2024,8,9,3,96.8,1759
2024,8,9,4,97.21,1918
2024,8,9,5,97.2,1914
2024,8,9,6,97.36,1979
2024,8,9,7,97.3,1954
2024,8,9,8,99.06,2884
2024,8,9,9,99.33,2914
2024,8,9,10,99.31,2886
2024,8,9,11,99.24,2849
2024,8,9,12,99.27,2865
2024,8,9,13,99.24,2849
2024,8,9,14,99.26,2860
2024,8,9,15,99.28,2870
2024,8,9,16,99.47,2971
2024,8,9,17,99.45,2960
2024,8,9,18,99.62,3052
2024,8,9,19,99.45,2960
2024,8,9,20,99.65,3068
2024,8,9,21,99.55,3014
2024,8,9,22,97.97,2117
2024,8,9,23,97.83,2165
2024,8,9,24,98.45,2458
2024,8,10,1,97.64,2095
2024,8,10,2,96.87,1785
2024,8,10,3,96.56,1670
2024,8,10,4,96.58,1677
2024,8,10,5,97,1835
2024,8,10,6,97.17,1902
2024,8,10,7,97.26,1938
2024,8,10,8,99.13,2926
2024,8,10,9,99.47,2992
2024,8,10,10,99.43,2949
2024,8,10,11,99.88,3195
2024,8,10,12,100.24,3402
2024,8,10,13,100.41,3503
2024,8,10,14,100.26,3414
2024,8,10,15,100.32,3449
2024,8,10,16,100.33,3455
2024,8,10,17,100.6,3617
2024,8,10,18,100.69,3672
2024,8,10,19,100.83,3759
2024,8,10,20,100.67,3660
2024,8,10,21,100.58,3605
2024,8,10,22,98.32,2238
2024,8,10,23,98.1,2279
2024,8,10,24,98.17,2328
2024,8,11,1,98.69,2573
2024,8,11,2,98.76,2607
2024,8,11,3,98.21,2346
2024,8,11,4,98.15,2319
2024,8,11,5,98.3,2388
2024,8,11,6,98.3,2388
2024,8,11,7,98.33,2402
2024,8,11,8,99.58,3110
2024,8,11,9,99.65,3072
2024,8,11,10,99.43,2949
2024,8,11,11,99.51,2992
2024,8,11,12,99.53,3003
2024,8,11,13,100.06,3298
2024,8,11,14,100.43,3515
2024,8,11,15,100.05,3292
2024,8,11,16,99.61,3046
2024,8,11,17,99.39,2928
2024,8,11,18,99.3,2881
2024,8,11,19,99.25,2855
2024,8,11,20,99.3,2881
2024,8,11,21,99.38,2923
2024,8,11,22,97.8,2039
2024,8,11,23,97.44,1980
2024,8,11,24,97.28,1946
2024,8,12,1,97.74,2138
2024,8,12,2,97.31,1958
2024,8,12,3,97,1835
2024,8,12,4,96.99,1831
2024,8,12,5,96.92,1804
2024,8,12,6,96.9,1797
2024,8,12,7,97,1835
2024,8,12,8,99.07,2912
2024,8,12,9,99.28,2884
2024,8,12,10,99.34,2902
2024,8,12,11,99.31,2886
2024,8,12,12,99.33,2896
2024,8,12,13,99.34,2902
2024,8,12,14,99.34,2902
2024,8,12,15,99.35,2907
2024,8,12,16,99.31,2886
2024,8,12,17,99.36,2912
2024,8,12,18,99.31,2886
2024,8,12,19,99.3,2881
2024,8,12,20,99.3,2881
2024,8,12,21,99.35,2907
2024,8,12,22,97.68,1978
2024,8,12,23,97.1,1821
2024,8,12,24,96.73,1733
2024,8,13,1,96.39,1609
2024,8,13,2,96.32,1584
2024,8,13,3,96.31,1580
2024,8,13,4,96.23,1552
2024,8,13,5,96.26,1563
2024,8,13,6,96.47,1637
2024,8,13,7,96.82,1766
2024,8,13,8,98.94,2854
2024,8,13,9,99.32,2916
2024,8,13,10,99.3,2881
2024,8,13,11,99.3,2881
2024,8,13,12,99.35,2907
2024,8,13,13,99.35,2907
2024,8,13,14,99.3,2881
2024,8,13,15,99.8,3151
2024,8,13,16,99.75,3123
2024,8,13,17,99.55,3014
2024,8,13,18,100.04,3286
2024,8,13,19,100.09,3315
2024,8,13,20,100.16,3355
2024,8,13,21,100.15,3350
2024,8,13,22,99.15,2740
2024,8,13,23,97.7,2004
2024,8,13,24,96.9,1797
2024,8,14,1,96.41,1616
2024,8,14,2,96.5,1648
2024,8,14,3,97.07,1863
2024,8,14,4,97.18,1906
2024,8,14,5,97.25,1934
2024,8,14,6,97.2,1914
2024,8,14,7,97.43,2007
2024,8,14,8,99.06,2874
2024,8,14,9,99.34,2920
2024,8,14,10,99.32,2891
2024,8,14,11,99.32,2891
2024,8,14,12,99.31,2886
2024,8,14,13,99.33,2896
2024,8,14,14,99.31,2886
2024,8,14,15,99.31,2886
2024,8,14,16,99.29,2875
2024,8,14,17,99.24,2849
2024,8,14,18,99.33,2896
2024,8,14,19,99.88,3195
2024,8,14,20,100.26,3414
2024,8,14,21,100.48,3545
2024,8,14,22,98.88,2562
2024,8,14,23,98.06,2214
2024,8,14,24,97.44,2012
2024,8,15,1,96.97,1824
2024,8,15,2,96.86,1782
2024,8,15,3,96.77,1748
2024,8,15,4,96.74,1736
2024,8,15,5,96.62,1692
2024,8,15,6,96.68,1714
2024,8,15,7,96.92,1804
2024,8,15,8,99,2879
2024,8,15,9,99.43,2976
2024,8,15,10,99.38,2923
2024,8,15,11,99.36,2912
2024,8,15,12,99.34,2902
2024,8,15,13,99.28,2870
2024,8,15,14,99.3,2881
2024,8,15,15,99.34,2902
2024,8,15,16,99.28,2870
2024,8,15,17,99.31,2886
2024,8,15,18,99.31,2886
2024,8,15,19,99.39,2928
2024,8,15,20,99.34,2902
2024,8,15,21,99.51,2992
2024,8,15,22,97.59,1919
2024,8,15,23,96.86,1713
2024,8,15,24,96.65,1703
2024,8,16,1,96.24,1556
2024,8,16,2,96.13,1518
2024,8,16,3,96.11,1511
2024,8,16,4,96.23,1552
2024,8,16,5,96.41,1616
2024,8,16,6,96.63,1695
2024,8,16,7,96.95,1816
2024,8,16,8,99.03,2894
2024,8,16,9,99.29,2892
2024,8,16,10,99.29,2875
2024,8,16,11,99.29,2875
2024,8,16,12,99.28,2870
2024,8,16,13,99.3,2881
2024,8,16,14,99.25,2855
2024,8,16,15,99.28,2870
2024,8,16,16,99.29,2875
2024,8,16,17,99.32,2891
2024,8,16,18,99.34,2902
2024,8,16,19,99.36,2912
2024,8,16,20,99.41,2939
2024,8,16,21,99.51,2992
2024,8,16,22,97.74,1998
2024,8,16,23,96.82,1680
2024,8,16,24,96.79,1755
2024,8,17,1,96.9,1797
2024,8,17,2,96.73,1733
2024,8,17,3,96.36,1598
2024,8,17,4,96.21,1545
2024,8,17,5,96.27,1566
2024,8,17,6,96.68,1714
2024,8,17,7,97.26,1938
2024,8,17,8,99.32,3034
2024,8,17,9,99.37,2920
2024,8,17,10,99.53,3003
2024,8,17,11,99.42,2944
2024,8,17,12,99.32,2891
2024,8,17,13,99.34,2902
2024,8,17,14,99.47,2971
2024,8,17,15,99.45,2960
2024,8,17,16,99.39,2928
2024,8,17,17,99.25,2855
2024,8,17,18,99.34,2902
2024,8,17,19,99.36,2912
2024,8,17,20,99.31,2886
2024,8,17,21,99.42,2944
2024,8,17,22,97.6,1931
2024,8,17,23,97.23,1893
2024,8,17,24,96.78,1751
2024,8,18,1,96.98,1828
2024,8,18,2,97.16,1898
2024,8,18,3,97.05,1855
2024,8,18,4,97.1,1874
2024,8,18,5,96.93,1808
2024,8,18,6,96.81,1763
2024,8,18,7,97.13,1886
2024,8,18,8,99.31,3038
2024,8,18,9,99.44,2963
2024,8,18,10,99.34,2902
2024,8,18,11,99.29,2875
2024,8,18,12,99.32,2891
2024,8,18,13,99.39,2928
2024,8,18,14,99.42,2944
2024,8,18,15,99.56,3019
2024,8,18,16,99.53,3003
2024,8,18,17,99.71,3101
2024,8,18,18,99.57,3025
2024,8,18,19,99.63,3057
2024,8,18,20,99.84,3173
2024,8,18,21,99.72,3106
2024,8,18,22,97.32,1764
2024,8,18,23,97.83,2220
2024,8,18,24,98.2,2342
2024,8,19,1,97.52,2045
2024,8,19,2,97.22,1922
2024,8,19,3,97.33,1966
2024,8,19,4,97.65,2099
2024,8,19,5,97.66,2104
2024,8,19,6,97.25,1934
2024,8,19,7,97.16,1898
2024,8,19,8,99.12,2928
2024,8,19,9,99.39,2945
2024,8,19,10,99.33,2896
2024,8,19,11,99.72,3106
2024,8,19,12,100.1,3321
2024,8,19,13,100.1,3321
2024,8,19,14,100.25,3408
2024,8,19,15,100.2,3379
2024,8,19,16,100.03,3281
2024,8,19,17,99.91,3212
2024,8,19,18,99.44,2955
2024,8,19,19,99.41,2939
2024,8,19,20,99.3,2881
2024,8,19,21,99.51,2992
2024,8,19,22,96.99,1614
2024,8,19,23,97.74,2203
2024,8,19,24,97.75,2142
2024,8,20,1,97.5,2036
2024,8,20,2,97.53,2049
2024,8,20,3,97.66,2104
2024,8,20,4,97.6,2078
2024,8,20,5,97.46,2020
2024,8,20,6,97.75,2142
2024,8,20,7,97.59,2074
2024,8,20,8,99.05,2856
2024,8,20,9,99.32,2909
2024,8,20,10,99.31,2886
2024,8,20,11,99.36,2912
2024,8,20,12,99.51,2992
2024,8,20,13,99.46,2965
2024,8,20,14,99.62,3052
2024,8,20,15,99.96,3241
2024,8,20,16,100.2,3379
2024,8,20,17,100.11,3326
2024,8,20,18,99.79,3145
2024,8,20,19,99.47,2971
2024,8,20,20,99.51,2992
2024,8,20,21,99.82,3162
2024,8,20,22,97.76,1986
2024,8,20,23,97.39,1958
2024,8,20,24,97.33,1966
2024,8,21,1,97.28,1946
2024,8,21,2,97.13,1886
2024,8,21,3,97,1835
2024,8,21,4,96.89,1793
2024,8,21,5,96.89,1793
2024,8,21,6,96.86,1782
2024,8,21,7,97.11,1878
2024,8,21,8,99.08,2909
2024,8,21,9,99.27,2877
2024,8,21,10,99.29,2875
2024,8,21,11,99.29,2875
2024,8,21,12,99.27,2865
2024,8,21,13,99.33,2896
2024,8,21,14,99.42,2944
2024,8,21,15,99.54,3008
2024,8,21,16,99.6,3041
2024,8,21,17,99.67,3079
2024,8,21,18,99.33,2896
2024,8,21,19,99.44,2955
2024,8,21,20,99.48,2976
2024,8,21,21,99.65,3068
2024,8,21,22,97.94,2094
2024,8,21,23,97.31,1902
2024,8,21,24,97.26,1938
2024,8,22,1,97.1,1874
2024,8,22,2,97.22,1922
2024,8,22,3,96.95,1816
2024,8,22,4,96.61,1688
2024,8,22,5,96.97,1824
2024,8,22,6,97.52,2045
2024,8,22,7,97.85,2185
2024,8,22,8,99.18,2910
2024,8,22,9,99.37,2929
2024,8,22,10,99.29,2875
2024,8,22,11,99.53,3003
2024,8,22,12,99.59,3035
2024,8,22,13,99.5,2987
2024,8,22,14,99.36,2912
2024,8,22,15,99.31,2886
2024,8,22,16,99.45,2960
2024,8,22,17,99.38,2923
2024,8,22,18,99.38,2923
2024,8,22,19,99.45,2960
2024,8,22,20,100.23,3396
2024,8,22,21,100.48,3545
2024,8,22,22,98.47,2328
2024,8,22,23,98.04,2235
2024,8,22,24,97.52,2045
2024,8,23,1,97.41,1999
2024,8,23,2,97.87,2194
2024,8,23,3,98.06,2278
2024,8,23,4,98.02,2260
2024,8,23,5,98.04,2269
2024,8,23,6,97.31,1958
2024,8,23,7,97.16,1898
2024,8,23,8,99.04,2882
2024,8,23,9,99.34,2921
2024,8,23,10,99.37,2917
2024,8,23,11,99.29,2875
2024,8,23,12,99.28,2870
2024,8,23,13,99.26,2860
2024,8,23,14,99.26,2860
2024,8,23,15,99.28,2870
2024,8,23,16,99.28,2870
2024,8,23,17,99.28,2870
2024,8,23,18,99.31,2886
2024,8,23,19,99.32,2891
2024,8,23,20,99.86,3184
2024,8,23,21,100.06,3298
2024,8,23,22,97.49,1827
2024,8,23,23,97.19,1883
2024,8,23,24,96.76,1744
2024,8,24,1,96.45,1630
2024,8,24,2,96.32,1584
2024,8,24,3,96.6,1684
2024,8,24,4,96.73,1733
2024,8,24,5,96.56,1670
2024,8,24,6,96.73,1733
2024,8,24,7,97.2,1914
2024,8,24,8,99.09,2908
2024,8,24,9,99.29,2888
2024,8,24,10,99.26,2860
2024,8,24,11,99.26,2860
2024,8,24,12,99.31,2886
2024,8,24,13,99.27,2865
2024,8,24,14,99.28,2870
2024,8,24,15,99.29,2875
2024,8,24,16,99.27,2865
2024,8,24,17,99.29,2875
2024,8,24,18,99.46,2965
2024,8,24,19,99.41,2939
2024,8,24,20,99.29,2875
2024,8,24,21,99.6,3041
2024,8,24,22,98.48,2392
2024,8,24,23,97.35,1877
2024,8,24,24,96.73,1733
2024,8,25,1,96.59,1681
2024,8,25,2,96.61,1688
2024,8,25,3,96.59,1681
2024,8,25,4,96.4,1612
2024,8,25,5,96.39,1609
2024,8,25,6,96.66,1707
2024,8,25,7,97.02,1843
2024,8,25,8,98.99,2866
2024,8,25,9,99.28,2889
2024,8,25,10,99.28,2870
2024,8,25,11,99.3,2881
2024,8,25,12,99.24,2849
2024,8,25,13,99.23,2844
2024,8,25,14,99.31,2886
2024,8,25,15,99.31,2886
2024,8,25,16,99.27,2865
2024,8,25,17,99.32,2891
2024,8,25,18,99.3,2881
2024,8,25,19,99.35,2907
2024,8,25,20,99.48,2976
2024,8,25,21,99.79,3145
2024,8,25,22,98.62,2458
2024,8,25,23,97.69,2040
2024,8,25,24,97.39,1991
2024,8,26,1,96.78,1751
2024,8,26,2,96.35,1594
2024,8,26,3,96.27,1566
2024,8,26,4,96.34,1591
2024,8,26,5,96.41,1616
2024,8,26,6,96.62,1692
2024,8,26,7,96.96,1820
2024,8,26,8,99,2876
2024,8,26,9,99.23,2859
2024,8,26,10,99.28,2870
2024,8,26,11,99.28,2870
2024,8,26,12,99.29,2875
2024,8,26,13,99.28,2870
2024,8,26,14,99.34,2902
2024,8,26,15,99.3,2881
2024,8,26,16,99.3,2881
2024,8,26,17,99.3,2881
2024,8,26,18,99.37,2917
2024,8,26,19,99.61,3046
2024,8,26,20,99.73,3112
2024,8,26,21,99.45,2960
2024,8,26,22,97.76,2013
2024,8,26,23,97.22,1873
2024,8,26,24,97.16,1898
2024,8,27,1,97.08,1867
2024,8,27,2,96.86,1782
2024,8,27,3,96.51,1652
2024,8,27,4,96.43,1623
2024,8,27,5,96.47,1637
2024,8,27,6,96.62,1692
2024,8,27,7,96.9,1797
2024,8,27,8,99,2881
2024,8,27,9,99.33,2917
2024,8,27,10,99.31,2886
2024,8,27,11,99.31,2886
2024,8,27,12,99.32,2891
2024,8,27,13,99.33,2896
2024,8,27,14,99.32,2891
2024,8,27,15,99.36,2912
2024,8,27,16,99.31,2886
2024,8,27,17,99.28,2870
2024,8,27,18,99.31,2886
2024,8,27,19,99.32,2891
2024,8,27,20,99.34,2902
2024,8,27,21,99.41,2939
2024,8,27,22,97.09,1672
2024,8,27,23,96.62,1646
2024,8,27,24,96.96,1820
2024,8,28,1,97.04,1851
2024,8,28,2,96.62,1692
2024,8,28,3,96.33,1587
2024,8,28,4,96.43,1623
2024,8,28,5,96.46,1634
2024,8,28,6,96.54,1663
2024,8,28,7,96.96,1820
2024,8,28,8,99.21,2994
2024,8,28,9,99.34,2910
2024,8,28,10,99.4,2933
2024,8,28,11,99.51,2992
2024,8,28,12,99.56,3019
2024,8,28,13,99.6,3041
2024,8,28,14,99.44,2955
2024,8,28,15,99.44,2955
2024,8,28,16,99.42,2944
2024,8,28,17,99.37,2917
2024,8,28,18,99.48,2976
2024,8,28,19,99.42,2944
2024,8,28,20,99.43,2949
2024,8,28,21,99.69,3090
2024,8,28,22,97.85,2043
2024,8,28,23,97.11,1811
2024,8,28,24,96.86,1782
2024,8,29,1,96.66,1707
2024,8,29,2,96.43,1623
2024,8,29,3,96.33,1587
2024,8,29,4,96.31,1580
2024,8,29,5,96.37,1602
2024,8,29,6,96.6,1684
2024,8,29,7,96.84,1774
2024,8,29,8,99.01,2891
2024,8,29,9,99.37,2940
2024,8,29,10,99.31,2886
2024,8,29,11,99.28,2870
2024,8,29,12,99.31,2886
2024,8,29,13,99.33,2896
2024,8,29,14,99.31,2886
2024,8,29,15,99.33,2896
2024,8,29,16,99.31,2886
2024,8,29,17,99.31,2886
2024,8,29,18,99.48,2976
2024,8,29,19,99.68,3084
2024,8,29,20,99.48,2976
2024,8,29,21,99.29,2875
2024,8,29,22,97.02,1646
2024,8,29,23,96.4,1550
2024,8,29,24,96.23,1552
2024,8,30,1,96.14,1521
2024,8,30,2,96.11,1511
2024,8,30,3,96.16,1528
2024,8,30,4,96.48,1641
2024,8,30,5,96.72,1729
2024,8,30,6,97.04,1851
2024,8,30,7,97.29,1950
2024,8,30,8,99.16,2940
2024,8,30,9,99.36,2925
2024,8,30,10,99.32,2891
2024,8,30,11,99.37,2917
2024,8,30,12,99.36,2912
2024,8,30,13,99.24,2849
2024,8,30,14,99.24,2849
2024,8,30,15,99.29,2875
2024,8,30,16,99.29,2875
2024,8,30,17,99.32,2891
2024,8,30,18,99.32,2891
2024,8,30,19,99.39,2928
2024,8,30,20,99.39,2928
2024,8,30,21,99.46,2965
2024,8,30,22,97.44,1846
2024,8,30,23,97.02,1804
2024,8,30,24,96.87,1785
2024,8,31,1,96.98,1828
2024,8,31,2,97.04,1851
2024,8,31,3,96.83,1770
2024,8,31,4,96.84,1774
2024,8,31,5,96.68,1714
2024,8,31,6,96.64,1699
2024,8,31,7,96.86,1782
2024,8,31,8,99.06,2918
2024,8,31,9,99.46,2990
2024,8,31,10,99.82,3162
2024,8,31,11,99.32,2891
2024,8,31,12,99.3,2881
2024,8,31,13,99.36,2912
2024,8,31,14,99.38,2923
2024,8,31,15,99.33,2896
2024,8,31,16,99.26,2860
2024,8,31,17,99.31,2886
2024,8,31,18,99.28,2870
2024,8,31,19,99.34,2902
2024,8,31,20,99.29,2875
2024,8,31,21,99.43,2949
2024,8,31,22,98.03,2158
2024,8,31,23,97.37,1925
2024,8,31,24,96.75,1740
2024,9,1,1,96.79,1755
2024,9,1,2,97.16,1898
2024,9,1,3,97.08,1867
2024,9,1,4,96.72,1729
2024,9,1,5,96.71,1725
2024,9,1,6,96.97,1824
2024,9,1,7,98.16,2323
2024,9,1,8,99.24,2922
2024,9,1,9,99.28,2872
2024,9,1,10,99.28,2870
2024,9,1,11,98.77,2612
2024,9,1,12,97.67,2108
2024,9,1,13,97.69,2116
2024,9,1,14,99.16,2808
2024,9,1,15,99.39,2928
2024,9,1,16,99.34,2902
2024,9,1,17,99.29,2875
2024,9,1,18,99.32,2891
2024,9,1,19,99.29,2875
2024,9,1,20,99.26,2860
2024,9,1,21,99.34,2902
2024,9,1,22,98.04,2170
2024,9,1,23,96.97,1726
2024,9,1,24,96.78,1751
2024,9,2,1,96.86,1782
2024,9,2,2,96.6,1684
2024,9,2,3,96.85,1778
2024,9,2,4,96.64,1699
2024,9,2,5,96.63,1695
2024,9,2,6,96.87,1785
2024,9,2,7,97.09,1871
2024,9,2,8,99.29,3029
2024,9,2,9,99.39,2934
2024,9,2,10,99.3,2881
2024,9,2,11,99.53,3003
2024,9,2,12,99.65,3068
2024,9,2,13,99.72,3106
2024,9,2,14,99.63,3057
2024,9,2,15,99.61,3046
2024,9,2,16,99.71,3101
2024,9,2,17,99.42,2944
2024,9,2,18,99.21,2834
2024,9,2,19,99.28,2870
2024,9,2,20,99.26,2860
2024,9,2,21,99.26,2860
2024,9,2,22,97.5,1892
2024,9,2,23,97.58,2077
2024,9,2,24,97.53,2049
2024,9,3,1,96.87,1785
2024,9,3,2,96.46,1634
2024,9,3,3,96.33,1587
2024,9,3,4,96.21,1545
2024,9,3,5,96.3,1577
2024,9,3,6,97.02,1843
2024,9,3,7,97.43,2007
2024,9,3,8,99.18,2941
2024,9,3,9,99.36,2924
2024,9,3,10,99.3,2881
2024,9,3,11,99.3,2881
2024,9,3,12,99.29,2875
2024,9,3,13,99.28,2870
2024,9,3,14,99.27,2865
2024,9,3,15,99.32,2891
2024,9,3,16,99.37,2917
2024,9,3,17,99.39,2928
2024,9,3,18,99.41,2939
2024,9,3,19,99.99,3258
2024,9,3,20,100.34,3461
2024,9,3,21,99.67,3079
2024,9,3,22,97.51,1866
2024,9,3,23,96.92,1749
2024,9,3,24,97.2,1914
2024,9,4,1,97.13,1886
2024,9,4,2,97.13,1886
2024,9,4,3,97.08,1867
2024,9,4,4,97.15,1894
2024,9,4,5,96.74,1736
2024,9,4,6,96.76,1744
2024,9,4,7,97.01,1839
2024,9,4,8,98.95,2844
2024,9,4,9,99.3,2904
2024,9,4,10,99.29,2875
2024,9,4,11,99.31,2886
2024,9,4,12,99.25,2855
2024,9,4,13,99.3,2881
2024,9,4,14,99.27,2865
2024,9,4,15,99.23,2844
2024,9,4,16,99.3,2881
2024,9,4,17,99.3,2881
2024,9,4,18,99.3,2881
2024,9,4,19,99.3,2881
2024,9,4,20,99.35,2907
2024,9,4,21,99.28,2870
2024,9,4,22,97.3,1788
2024,9,4,23,97.24,1924
2024,9,4,24,97.21,1918
2024,9,5,1,96.9,1797
2024,9,5,2,96.7,1721
2024,9,5,3,96.51,1652
2024,9,5,4,96.49,1644
2024,9,5,5,96.62,1692
2024,9,5,6,96.83,1770
2024,9,5,7,97.15,1894
2024,9,5,8,99.31,3036
2024,9,5,9,99.31,2886
2024,9,5,10,99.25,2855
2024,9,5,11,99.24,2849
2024,9,5,12,99.23,2844
2024,9,5,13,99.23,2844
2024,9,5,14,99.27,2865
2024,9,5,15,99.3,2881
2024,9,5,16,99.25,2855
2024,9,5,17,99.3,2881
2024,9,5,18,99.28,2870
2024,9,5,19,99.28,2870
2024,9,5,20,99.3,2881
2024,9,5,21,99.24,2849
2024,9,5,22,97.44,1863
2024,9,5,23,97.67,2128
2024,9,5,24,98.08,2287
2024,9,6,1,97.68,2112
2024,9,6,2,96.67,1710
2024,9,6,3,96.26,1563
2024,9,6,4,96.26,1563
2024,9,6,5,96.44,1626
2024,9,6,6,96.77,1748
2024,9,6,7,97.14,1890
2024,9,6,8,99,2862
